date,pm2_5,air_temperature,air_humidity,is_primary_outlier,T,P0,P,U,DD,Ff,VV
2024-05-30 11:00:00,10.716666666666667,7.096333246666666,74.06399878333333,False,7.0,751.3,762.8,76.0,12.0,8.0,10.0
2024-05-30 12:00:00,9.266666666666667,6.523166588333334,83.55799871666666,False,7.0,751.3,762.8,76.0,13.0,6.0,10.0
2024-05-30 13:00:00,7.183333333333334,6.513666493333333,86.013999,False,7.0,750.5,762.0,81.0,13.0,7.0,10.0
2024-05-30 14:00:00,9.65,5.515333271666666,91.2819987,False,7.0,750.5,762.0,81.0,13.0,7.0,10.0
2024-05-30 15:00:00,14.777777777777779,5.160185129629629,95.84388698148149,False,5.0,749.6,761.2,93.0,11.0,7.0,10.0
2024-05-30 16:00:00,9.520833333333334,4.9493749156249995,96.5254146875,False,5.0,749.6,761.2,93.0,13.0,7.0,10.0
2024-05-30 17:00:00,15.983333333333333,4.897833234999999,97.11458110833334,False,5.0,748.9,760.5,93.0,13.0,8.0,10.0
2024-05-30 18:00:00,26.533333333333335,4.712166616666667,97.55049886666667,False,5.0,748.9,760.5,93.0,13.0,7.0,10.0
2024-05-30 19:00:00,10.7,4.709499971666667,97.75983296666666,False,4.0,748.9,760.5,93.0,11.0,8.0,10.0
2024-05-30 20:00:00,8.7,4.845499915,97.87999903333333,False,4.0,749.6,761.2,100.0,11.0,8.0,7.0
2024-05-30 21:00:00,11.133333333333333,4.995999944999999,98.31083175,False,5.0,749.6,761.2,93.0,11.0,6.0,10.0
2024-05-30 22:00:00,9.708333333333334,5.101499864999999,97.86841486666667,False,5.0,750.4,762.0,93.0,9.0,6.0,10.0
2024-05-30 23:00:00,5.8,5.190833333333333,96.07516485,False,5.0,750.4,762.0,93.0,9.0,6.0,10.0
2024-05-31 00:00:00,4.883333333333334,5.435333318333333,94.90183165,False,5.0,751.2,762.8,93.0,9.0,5.0,10.0
2024-05-31 01:00:00,7.666666666666667,5.5312498825,93.83224865000001,False,5.0,751.9,763.5,93.0,8.0,5.0,10.0
2024-05-31 02:00:00,7.216666666666667,5.376666611666667,90.81449876666667,False,5.0,752.7,764.3,93.0,8.0,5.0,10.0
2024-05-31 03:00:00,6.9,4.436999924999999,91.81999855000001,False,5.0,753.3,765.0,87.0,10.0,4.0,10.0
2024-05-31 04:00:00,7.4,4.157166621666667,88.69083189999999,False,3.0,754.0,765.8,87.0,5.0,3.0,10.0
2024-05-31 05:00:00,13.25,5.191999913333333,84.70899843333333,False,4.0,754.9,766.6,87.0,4.0,2.0,10.0
2024-05-31 06:00:00,3.933333333333333,6.91949989,73.81683249999999,False,7.0,755.0,766.6,71.0,10.0,4.0,10.0
2024-05-31 07:00:00,2.7666666666666666,8.366666495,65.83983216666667,False,9.0,755.8,767.3,58.0,10.0,3.0,10.0
2024-05-31 08:00:00,1.75,9.609166499999999,52.56083246666667,False,10.0,756.6,768.1,54.0,10.0,4.0,10.0
